Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
1,GOAP,49.700001,765.000000,34.000000,385.000000,20/4/2017 - 20:42:57,6,10,4,0,2884.000000,52.000000,462.000000,20/4/2017 - 20:43:24,6,5,6,6,20/4/2017 - 20:43:35
2,MCTS,94.250000,2674.000000,50.000000,1015.000000,20/4/2017 - 20:44:54,10,22,6,22,2170.000000,58.000000,1105.000000,20/4/2017 - 20:45:12,6,19,10,29,20/4/2017 - 20:45:12
3,GOAP,46.536999,1791.000000,54.000000,745.000000,20/4/2017 - 20:46:0,6,9,3,17,1435.000000,60.000000,665.000000,20/4/2017 - 20:45:44,6,10,3,15,20/4/2017 - 20:46:0
4,MCTS,73.702003,1378.000000,38.000000,625.000000,20/4/2017 - 20:46:23,7,13,8,15,3972.000000,62.000000,1023.000000,20/4/2017 - 20:47:16,6,14,8,23,20/4/2017 - 20:47:16
5,GOAP,48.242001,875.000000,34.000000,385.000000,20/4/2017 - 20:47:59,6,10,3,2,2256.000000,42.000000,445.000000,20/4/2017 - 20:47:50,6,5,5,15,20/4/2017 - 20:48:5
6,MCTS,49.915001,1061.000000,40.000000,485.000000,20/4/2017 - 20:48:27,6,10,4,4,3216.000000,52.000000,700.000000,20/4/2017 - 20:48:56,6,11,3,6,20/4/2017 - 20:48:56
7,MCTS,22.454000,774.000000,16.000000,370.000000,20/4/2017 - 20:49:14,6,0,3,3,1796.000000,52.000000,454.000000,20/4/2017 - 20:49:19,6,4,0,0,20/4/2017 - 20:49:20
8,GOAP,198.009003,3585.000000,82.000000,1011.000000,20/4/2017 - 20:50:26,17,51,12,89,4072.000000,72.000000,1078.000000,20/4/2017 - 20:52:21,11,40,21,68,20/4/2017 - 20:52:43
9,GOAP,140.921997,2461.000000,66.000000,924.000000,20/4/2017 - 20:53:43,13,28,14,25,3400.000000,54.000000,1030.000000,20/4/2017 - 20:55:4,12,25,16,44,20/4/2017 - 20:55:7
10,MCTS,111.524002,2283.000000,48.000000,830.000000,20/4/2017 - 20:55:58,12,21,11,39,5162.000000,56.000000,846.000000,20/4/2017 - 20:57:2,9,20,13,31,20/4/2017 - 20:57:2
11,MCTS,24.464001,739.000000,26.000000,370.000000,20/4/2017 - 20:57:23,6,4,1,1,1818.000000,52.000000,475.000000,20/4/2017 - 20:57:27,6,5,0,0,20/4/2017 - 20:57:27
12,MCTS,123.480003,1440.000000,36.000000,700.000000,20/4/2017 - 20:59:4,12,20,15,28,4611.000000,70.000000,780.000000,20/4/2017 - 20:58:53,6,25,11,21,20/4/2017 - 20:59:34
13,GOAP,40.386002,1537.000000,64.000000,640.000000,20/4/2017 - 21:0:16,6,10,1,10,1352.000000,62.000000,645.000000,20/4/2017 - 20:59:53,6,9,2,18,20/4/2017 - 21:0:16
14,MCTS,58.090000,1641.000000,46.000000,895.000000,20/4/2017 - 21:1:0,6,11,5,21,3431.000000,80.000000,1060.000000,20/4/2017 - 21:1:15,6,10,6,19,20/4/2017 - 21:1:15
15,MCTS,49.793999,2105.000000,20.000000,750.000000,20/4/2017 - 21:1:46,6,4,8,10,2754.000000,62.000000,1138.000000,20/4/2017 - 21:2:7,6,10,3,17,20/4/2017 - 21:2:7
16,MCTS,50.467999,924.000000,30.000000,440.000000,20/4/2017 - 21:2:34,6,10,4,2,3624.000000,62.000000,815.000000,20/4/2017 - 21:2:58,7,9,4,21,20/4/2017 - 21:2:58
17,GOAP,47.959000,961.000000,40.000000,415.000000,20/4/2017 - 21:3:22,6,10,3,5,2831.000000,52.000000,510.000000,20/4/2017 - 21:3:32,6,6,2,0,20/4/2017 - 21:3:48
18,GOAP,37.770000,912.000000,60.000000,380.000000,20/4/2017 - 21:4:25,6,9,1,3,2327.000000,52.000000,456.000000,20/4/2017 - 21:4:17,6,5,2,0,20/4/2017 - 21:4:27
19,MCTS,107.688004,2127.000000,60.000000,1051.000000,20/4/2017 - 21:5:5,13,23,8,23,4064.000000,62.000000,1072.000000,20/4/2017 - 21:6:17,8,20,9,28,20/4/2017 - 21:6:17
