Game Number,Winner,No. of Wins,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
1,GOAP,1,43.299999,740.000000,30.000000,375.000000,12.173000,6,10,2,0,2032.000000,48.000000,405.000000,38.655998,6,5,4,0,24/4/2017 - 11:38:11
2,GOAP,2,42.715000,2133.000000,60.000000,656.000000,42.651001,6,10,2,7,2466.000000,42.000000,445.000000,36.729000,6,5,5,0,24/4/2017 - 11:38:55
3,GOAP,3,38.108002,2294.000000,66.000000,728.000000,37.964001,6,10,1,5,2357.000000,42.000000,475.000000,34.576000,6,5,4,0,24/4/2017 - 11:39:34
4,GOAP,4,105.588997,2420.000000,42.000000,870.000000,49.416000,9,20,11,31,5251.000000,70.000000,530.000000,101.203003,7,19,13,0,24/4/2017 - 11:41:22
5,MCTS,1,40.192001,1478.000000,36.000000,415.000000,21.841999,6,8,2,0,1896.000000,84.000000,362.000000,40.049000,6,9,2,0,24/4/2017 - 11:42:4
6,MCTS,2,91.944000,4441.000000,34.000000,410.000000,89.875999,9,11,14,0,7815.000000,62.000000,533.000000,91.816002,6,18,10,0,24/4/2017 - 11:43:38
7,GOAP,5,68.563004,1692.000000,34.000000,390.000000,36.018002,6,11,8,0,5339.000000,42.000000,459.000000,64.499001,6,10,9,0,24/4/2017 - 11:44:49
8,MCTS,3,103.115997,3861.000000,44.000000,445.000000,76.075996,9,15,14,0,7027.000000,46.000000,440.000000,99.793999,6,19,12,0,24/4/2017 - 11:46:35
9,MCTS,4,116.143997,7153.000000,40.000000,455.000000,95.600998,7,21,14,0,9674.000000,66.000000,505.000000,112.894997,6,20,15,0,24/4/2017 - 11:48:34
10,GOAP,6,53.594002,2684.000000,46.000000,390.000000,53.431999,6,7,7,0,3892.000000,32.000000,440.000000,52.931000,6,10,4,0,24/4/2017 - 11:49:30
11,GOAP,7,51.835999,1447.000000,36.000000,415.000000,51.595001,8,10,4,0,3304.000000,46.000000,475.000000,47.480000,6,5,8,0,24/4/2017 - 11:50:23
12,MCTS,5,40.143002,2488.000000,52.000000,480.000000,31.823000,6,5,4,0,2454.000000,76.000000,483.000000,39.985001,6,10,1,0,24/4/2017 - 11:51:4
13,GOAP,8,36.146999,839.000000,50.000000,399.000000,35.743000,6,9,1,0,2252.000000,42.000000,459.000000,28.184999,6,5,2,0,24/4/2017 - 11:51:42
14,GOAP,9,34.960999,1957.000000,56.000000,370.000000,34.811001,6,10,0,0,2000.000000,42.000000,455.000000,33.263000,6,5,3,0,24/4/2017 - 11:52:18
15,MCTS,6,54.428001,2796.000000,50.000000,405.000000,42.674999,6,6,8,0,3069.000000,40.000000,425.000000,54.396000,7,10,5,0,24/4/2017 - 11:53:13
16,GOAP,10,62.365002,3515.000000,36.000000,430.000000,62.270000,6,11,7,0,4881.000000,42.000000,463.000000,59.097000,6,10,7,0,24/4/2017 - 11:54:18
17,MCTS,7,63.126999,1740.000000,34.000000,380.000000,48.820000,8,10,7,0,2550.000000,52.000000,435.000000,60.721001,6,9,8,0,24/4/2017 - 11:55:23
18,MCTS,8,67.639999,4276.000000,40.000000,370.000000,63.381001,6,11,8,0,4014.000000,48.000000,443.000000,67.591003,6,11,8,0,24/4/2017 - 11:56:32
19,GOAP,11,40.153999,1560.000000,44.000000,370.000000,39.978001,6,10,1,0,2486.000000,42.000000,451.000000,38.148998,6,5,3,0,24/4/2017 - 11:57:14
20,GOAP,12,57.028999,5283.000000,52.000000,486.000000,56.926998,6,8,7,0,4182.000000,42.000000,447.000000,56.911999,6,10,5,0,24/4/2017 - 11:58:12
21,MCTS,9,14.351000,727.000000,22.000000,370.000000,9.773000,6,1,0,0,906.000000,36.000000,415.000000,14.335000,3,3,0,0,24/4/2017 - 11:58:27
22,GOAP,13,41.958000,1175.000000,50.000000,370.000000,41.837002,6,10,2,0,2742.000000,52.000000,460.000000,38.403000,6,5,3,0,24/4/2017 - 11:59:10
23,GOAP,14,65.858002,5350.000000,50.000000,460.000000,65.815002,6,11,8,0,3017.000000,40.000000,430.000000,63.391998,6,10,8,0,24/4/2017 - 12:0:18
24,GOAP,15,40.605000,878.000000,40.000000,370.000000,16.079000,6,10,1,0,2692.000000,52.000000,470.000000,33.015999,6,5,2,0,24/4/2017 - 12:1:0
25,GOAP,16,52.486000,727.000000,30.000000,370.000000,9.614000,6,10,5,0,2591.000000,42.000000,465.000000,48.368999,6,5,7,0,24/4/2017 - 12:1:54
26,GOAP,17,104.763000,3435.000000,44.000000,370.000000,104.731003,10,20,11,0,4948.000000,42.000000,445.000000,98.796997,6,17,14,0,24/4/2017 - 12:3:42
27,GOAP,18,60.903000,2445.000000,54.000000,421.000000,60.702000,6,9,8,0,4501.000000,42.000000,441.000000,57.347000,6,10,7,0,24/4/2017 - 12:4:44
28,GOAP,19,34.733002,737.000000,34.000000,370.000000,33.276001,6,8,1,0,1747.000000,36.000000,440.000000,25.568001,6,5,2,0,24/4/2017 - 12:5:20
29,MCTS,10,51.426998,733.000000,30.000000,370.000000,12.035000,7,10,4,0,2523.000000,42.000000,455.000000,51.379002,6,6,7,0,24/4/2017 - 12:6:13
30,MCTS,11,66.757004,2590.000000,26.000000,370.000000,56.539001,6,11,8,0,5925.000000,56.000000,484.000000,66.581001,6,11,8,0,24/4/2017 - 12:7:22
31,GOAP,20,37.539001,930.000000,34.000000,370.000000,22.761000,6,8,2,0,2446.000000,42.000000,440.000000,34.507999,6,5,3,0,24/4/2017 - 12:8:0
32,GOAP,21,40.817001,1535.000000,44.000000,370.000000,38.964001,6,9,2,0,2617.000000,62.000000,487.000000,31.329000,6,5,2,0,24/4/2017 - 12:8:43
33,MCTS,12,40.091000,1692.000000,48.000000,450.000000,31.431999,6,8,2,0,3509.000000,82.000000,557.000000,40.075001,6,10,1,0,24/4/2017 - 12:9:24
34,MCTS,13,37.306000,912.000000,32.000000,400.000000,16.936001,6,9,1,0,2262.000000,60.000000,440.000000,37.194000,6,5,4,0,24/4/2017 - 12:10:2
35,GOAP,22,33.655998,1263.000000,50.000000,370.000000,31.981001,6,9,0,0,1782.000000,40.000000,440.000000,24.190001,6,5,2,0,24/4/2017 - 12:10:37
36,MCTS,14,57.037998,817.000000,30.000000,370.000000,17.173000,8,10,5,0,3917.000000,40.000000,440.000000,56.894001,6,7,8,0,24/4/2017 - 12:11:36
37,MCTS,15,49.221001,3240.000000,50.000000,441.000000,43.091999,6,4,8,0,1508.000000,66.000000,455.000000,48.984001,7,10,3,0,24/4/2017 - 12:12:26
38,MCTS,16,106.361000,5855.000000,38.000000,370.000000,96.001999,8,20,12,0,6543.000000,52.000000,434.000000,106.217003,6,21,12,0,24/4/2017 - 12:14:16
39,MCTS,17,62.735001,727.000000,20.000000,370.000000,9.562000,8,10,7,0,2936.000000,52.000000,498.000000,62.719002,6,5,8,0,24/4/2017 - 12:15:20
40,GOAP,23,38.039001,1501.000000,44.000000,403.000000,37.925999,6,10,1,0,2416.000000,32.000000,420.000000,37.229000,6,5,4,0,24/4/2017 - 12:15:59
41,GOAP,24,72.692001,4027.000000,36.000000,404.000000,72.517998,6,11,9,0,5176.000000,42.000000,451.000000,70.918999,6,11,9,0,24/4/2017 - 12:17:14
42,GOAP,25,34.098999,1229.000000,50.000000,370.000000,31.612000,6,6,2,0,2027.000000,42.000000,475.000000,25.867001,6,5,2,0,24/4/2017 - 12:17:49
43,MCTS,18,36.854000,1087.000000,20.000000,390.000000,20.931999,6,1,6,0,2575.000000,62.000000,493.000000,36.806000,6,8,1,0,24/4/2017 - 12:18:27
44,GOAP,26,50.950001,1163.000000,54.000000,370.000000,26.639999,6,10,4,0,3037.000000,62.000000,501.000000,38.983002,6,5,3,0,24/4/2017 - 12:19:20
45,GOAP,27,40.428001,2167.000000,56.000000,370.000000,40.380001,6,9,2,0,2322.000000,32.000000,440.000000,37.536999,6,5,4,0,24/4/2017 - 12:20:1
46,GOAP,28,32.900002,1987.000000,56.000000,370.000000,32.868000,6,9,0,0,1996.000000,32.000000,410.000000,31.111000,6,4,3,0,24/4/2017 - 12:20:35
47,GOAP,29,50.853001,3924.000000,50.000000,480.000000,50.837002,6,11,3,0,3845.000000,32.000000,430.000000,48.936001,6,10,4,0,24/4/2017 - 12:21:28
48,MCTS,19,33.661999,820.000000,30.000000,370.000000,15.361000,6,8,1,0,2274.000000,58.000000,471.000000,32.717999,6,5,0,0,24/4/2017 - 12:22:2
49,GOAP,30,66.968002,3026.000000,40.000000,455.000000,65.767998,6,11,8,0,1113.000000,32.000000,335.000000,65.671997,9,10,7,0,24/4/2017 - 12:23:11
50,MCTS,20,60.977001,2748.000000,38.000000,435.000000,45.270000,8,10,6,0,3422.000000,38.000000,440.000000,60.912998,6,11,6,0,24/4/2017 - 12:24:14
51,GOAP,31,30.551001,831.000000,50.000000,391.000000,30.486000,6,7,1,0,1987.000000,42.000000,425.000000,25.225000,6,4,1,0,24/4/2017 - 12:24:45
